country,iso3c,deaths,days_since_tenth_death,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
India,IND,3,0,0.0010371436263514175,0.6513298194269473,0.038229324623403275
India,IND,0,1,0.001365913972543837,0.6513298194269473,0.038229324623403275
India,IND,2,2,0.0017751195611132476,0.6513298194269473,0.038229324623403275
India,IND,8,3,0.002278000207682411,0.6513298194269473,0.038229324623403275
India,IND,0,4,0.0028871166805541104,0.6513298194269473,0.038229324623403275
India,IND,4,5,0.003622354655977064,0.6513298194269473,0.038229324623403275
India,IND,3,6,0.004502276218558656,0.6513298194269473,0.038229324623403275
India,IND,5,7,0.005532154771913376,0.6513298194269473,0.038229324623403275
India,IND,3,8,0.006708818897394453,0.6513298194269473,0.038229324623403275
India,IND,23,9,0.008010777191671349,0.6513298194269473,0.038229324623403275
India,IND,14,10,0.009420098092873705,0.6513298194269473,0.038229324623403275
India,IND,0,11,0.010929648690288004,0.6513298194269473,0.038229324623403275
India,IND,14,12,0.012550391239982021,0.6513298194269473,0.038229324623403275
India,IND,13,13,0.014236248248319788,0.6513298194269473,0.038229324623403275
India,IND,37,14,0.01592604221893471,0.6513298194269473,0.038229324623403275
India,IND,14,15,0.01756386342203046,0.6513298194269473,0.038229324623403275
India,IND,28,16,0.019093223895179708,0.6513298194269473,0.038229324623403275
India,IND,48,17,0.020459371303371072,0.6513298194269473,0.038229324623403275
India,IND,20,18,0.021642923435359757,0.6513298194269473,0.038229324623403275
India,IND,42,19,0.022636493146793626,0.6513298194269473,0.038229324623403275
India,IND,43,20,0.023452948291856655,0.6513298194269473,0.038229324623403275
India,IND,27,21,0.024145995583138444,0.6513298194269473,0.038229324623403275
India,IND,35,22,0.02478570321647517,0.6513298194269473,0.038229324623403275
India,IND,12,23,0.025455631886910534,0.6513298194269473,0.038229324623403275
India,IND,43,24,0.026190990472706732,0.6513298194269473,0.038229324623403275
India,IND,38,25,0.027010129848396115,0.6513298194269473,0.038229324623403275
India,IND,35,26,0.027919142144613922,0.6513298194269473,0.038229324623403275
India,IND,38,27,0.028923822532806766,0.6513298194269473,0.038229324623403275
India,IND,33,28,0.0300347483803673,0.6513298194269473,0.038229324623403275
