country,iso3c,deaths,days_since_tenth_death_m50,deaths_per_million_smoothed,total_deaths_per_million,deaths_per_million_smoothed_yesterday
India,IND,121,0,0.08441413002261282,1.9584253026810254,0.08639967135083053
India,IND,136,1,0.08542191862009503,1.9584253026810254,0.08639967135083053
India,IND,98,2,0.08639967135083053,1.9584253026810254,0.08639967135083053
Iraq,IRQ,2,0,0.03815233370477973,2.9921735148411805,0.04273087385527737
Iraq,IRQ,1,1,0.039361113863215745,2.9921735148411805,0.04273087385527737
Iraq,IRQ,4,2,0.04039147782067447,2.9921735148411805,0.04273087385527737
Iraq,IRQ,0,3,0.0412418422858216,2.9921735148411805,0.04273087385527737
Iraq,IRQ,0,4,0.041987962763056476,2.9921735148411805,0.04273087385527737
Iraq,IRQ,2,5,0.042677035992557455,2.9921735148411805,0.04273087385527737
Iraq,IRQ,3,6,0.04319407287574057,2.9921735148411805,0.04273087385527737
Iraq,IRQ,2,7,0.04349374290628822,2.9921735148411805,0.04273087385527737
Iraq,IRQ,1,8,0.04356767324501937,2.9921735148411805,0.04273087385527737
Iraq,IRQ,2,9,0.04343776966587815,2.9921735148411805,0.04273087385527737
Iraq,IRQ,3,10,0.04313932152013963,2.9921735148411805,0.04273087385527737
Iraq,IRQ,0,11,0.04273087385527737,2.9921735148411805,0.04273087385527737
China,CHN,11,0,0.011116152691171832,3.329432122521953,-2.240069120559041e-4
China,CHN,8,1,0.010079146292126095,3.329432122521953,-2.240069120559041e-4
China,CHN,13,2,0.009157055267882757,3.329432122521953,-2.240069120559041e-4
China,CHN,10,3,0.008329419253058136,3.329432122521953,-2.240069120559041e-4
China,CHN,14,4,0.00757171581445335,3.329432122521953,-2.240069120559041e-4
China,CHN,13,5,0.006859137423800192,3.329432122521953,-2.240069120559041e-4
China,CHN,11,6,0.006175499089142574,3.329432122521953,-2.240069120559041e-4
China,CHN,8,7,0.00550896614393208,3.329432122521953,-2.240069120559041e-4
China,CHN,4,8,0.004855831825832848,3.329432122521953,-2.240069120559041e-4
China,CHN,6,9,0.004212093037939403,3.329432122521953,-2.240069120559041e-4
China,CHN,15,10,0.0035675989485679373,3.329432122521953,-2.240069120559041e-4
China,CHN,0,11,0.002922532446262509,3.329432122521953,-2.240069120559041e-4
China,CHN,7,12,0.0022816022461813893,3.329432122521953,-2.240069120559041e-4
China,CHN,4,13,0.001654958339089229,3.329432122521953,-2.240069120559041e-4
China,CHN,6,14,0.0010564080144319218,3.329432122521953,-2.240069120559041e-4
China,CHN,5,15,5.089464807740034e-4,3.329432122521953,-2.240069120559041e-4
China,CHN,3,16,4.0429275117854566e-5,3.329432122521953,-2.240069120559041e-4
China,CHN,5,17,-3.086356038096661e-4,3.329432122521953,-2.240069120559041e-4
China,CHN,4,18,-4.855805402565343e-4,3.329432122521953,-2.240069120559041e-4
China,CHN,1,19,-4.316515727128369e-4,3.329432122521953,-2.240069120559041e-4
China,CHN,7,20,-7.33456250040767e-5,3.329432122521953,-2.240069120559041e-4
China,CHN,6,21,6.693823398666343e-4,3.329432122521953,-2.240069120559041e-4
China,CHN,4,22,0.0018906147323349916,3.329432122521953,-2.240069120559041e-4
China,CHN,4,23,0.0036977632242482465,3.329432122521953,-2.240069120559041e-4
China,CHN,3,24,0.00620028082605827,3.329432122521953,-2.240069120559041e-4
China,CHN,2,25,0.009505311323380079,3.329432122521953,-2.240069120559041e-4
China,CHN,0,26,0.013708576774802118,3.329432122521953,-2.240069120559041e-4
China,CHN,2,27,0.018862421555643268,3.329432122521953,-2.240069120559041e-4
China,CHN,2,28,0.024994740968315155,3.329432122521953,-2.240069120559041e-4
China,CHN,1,29,0.03205986577784383,3.329432122521953,-2.240069120559041e-4
China,CHN,3,30,0.03992193838106526,3.329432122521953,-2.240069120559041e-4
China,CHN,0,31,0.048371986635215955,3.329432122521953,-2.240069120559041e-4
China,CHN,2,32,0.056985163955234786,3.329432122521953,-2.240069120559041e-4
China,CHN,0,33,0.06527987113533093,3.329432122521953,-2.240069120559041e-4
China,CHN,1,34,0.07261190769734396,3.329432122521953,-2.240069120559041e-4
China,CHN,0,35,0.07772842822596432,3.329432122521953,-2.240069120559041e-4
China,CHN,1290,36,0.0794591743171225,3.329432122521953,-2.240069120559041e-4
China,CHN,0,37,0.07757009653870299,3.329432122521953,-2.240069120559041e-4
China,CHN,0,38,0.07229519832284456,3.329432122521953,-2.240069120559041e-4
China,CHN,0,39,0.06480448558674869,3.329432122521953,-2.240069120559041e-4
China,CHN,0,40,0.0563504997791497,3.329432122521953,-2.240069120559041e-4
China,CHN,0,41,0.04757704110878928,3.329432122521953,-2.240069120559041e-4
China,CHN,0,42,0.03896492117042877,3.329432122521953,-2.240069120559041e-4
China,CHN,0,43,0.030937828743392907,3.329432122521953,-2.240069120559041e-4
China,CHN,0,44,0.02370248486950651,3.329432122521953,-2.240069120559041e-4
China,CHN,1,45,0.01739198901921081,3.329432122521953,-2.240069120559041e-4
China,CHN,0,46,0.01204946668801426,3.329432122521953,-2.240069120559041e-4
China,CHN,0,47,0.007648842026829198,3.329432122521953,-2.240069120559041e-4
China,CHN,0,48,0.00414150910672527,3.329432122521953,-2.240069120559041e-4
China,CHN,0,49,0.0014385633869884887,3.329432122521953,-2.240069120559041e-4
China,CHN,0,50,-5.601507693840637e-4,3.329432122521953,-2.240069120559041e-4
China,CHN,0,51,-0.0019594947727673727,3.329432122521953,-2.240069120559041e-4
China,CHN,0,52,-0.002864356107652179,3.329432122521953,-2.240069120559041e-4
China,CHN,0,53,-0.003372381972653093,3.329432122521953,-2.240069120559041e-4
China,CHN,0,54,-0.003569513961290215,3.329432122521953,-2.240069120559041e-4
China,CHN,0,55,-0.0035346505035785745,3.329432122521953,-2.240069120559041e-4
China,CHN,0,56,-0.00332907261138015,3.329432122521953,-2.240069120559041e-4
China,CHN,0,57,-0.00300679847739005,3.329432122521953,-2.240069120559041e-4
China,CHN,0,58,-0.0026080973850727113,3.329432122521953,-2.240069120559041e-4
China,CHN,0,59,-0.002161119950398872,3.329432122521953,-2.240069120559041e-4
China,CHN,0,60,-0.001689002830417361,3.329432122521953,-2.240069120559041e-4
China,CHN,0,61,-0.0012040870493545484,3.329432122521953,-2.240069120559041e-4
China,CHN,0,62,-7.147120912296684e-4,3.329432122521953,-2.240069120559041e-4
China,CHN,0,63,-2.240069120559041e-4,3.329432122521953,-2.240069120559041e-4
Malaysia,MYS,1,0,0.02302184926061468,3.5523319552717005,0.027211263921806245
Malaysia,MYS,0,1,0.024306469545935367,3.5523319552717005,0.027211263921806245
Malaysia,MYS,2,2,0.025733009255671128,3.5523319552717005,0.027211263921806245
Malaysia,MYS,1,3,0.027211263921806245,3.5523319552717005,0.027211263921806245
Indonesia,IDN,35,0,0.06506291890623699,3.896684655489085,0.06446087939281842
Indonesia,IDN,13,1,0.06509599206579429,3.896684655489085,0.06446087939281842
Indonesia,IDN,16,2,0.0650360462014071,3.896684655489085,0.06446087939281842
Indonesia,IDN,14,3,0.06493888099738798,3.896684655489085,0.06446087939281842
Indonesia,IDN,18,4,0.0648366962246405,3.896684655489085,0.06446087939281842
Indonesia,IDN,16,5,0.06472733202972689,3.896684655489085,0.06446087939281842
Indonesia,IDN,21,6,0.06460214028531268,3.896684655489085,0.06446087939281842
Indonesia,IDN,15,7,0.06446087939281842,3.896684655489085,0.06446087939281842
"Korea, South",KOR,3,0,0.05797276615620505,5.038112058192209,0.010657151537476173
"Korea, South",KOR,4,1,0.05348758679931823,5.038112058192209,0.010657151537476173
"Korea, South",KOR,1,2,0.049069120099499104,5.038112058192209,0.010657151537476173
"Korea, South",KOR,2,3,0.04484127610836084,5.038112058192209,0.010657151537476173
"Korea, South",KOR,2,4,0.040916699082651026,5.038112058192209,0.010657151537476173
"Korea, South",KOR,2,5,0.03734921849630962,5.038112058192209,0.010657151537476173
"Korea, South",KOR,1,6,0.034181594164638424,5.038112058192209,0.010657151537476173
"Korea, South",KOR,1,7,0.031458828848365296,5.038112058192209,0.010657151537476173
"Korea, South",KOR,2,8,0.02918038653396738,5.038112058192209,0.010657151537476173
"Korea, South",KOR,0,9,0.02732602226418753,5.038112058192209,0.010657151537476173
"Korea, South",KOR,2,10,0.025845828118145685,5.038112058192209,0.010657151537476173
"Korea, South",KOR,1,11,0.02467921743112098,5.038112058192209,0.010657151537476173
"Korea, South",KOR,1,12,0.023752037928212223,5.038112058192209,0.010657151537476173
"Korea, South",KOR,2,13,0.02298481993782394,5.038112058192209,0.010657151537476173
"Korea, South",KOR,1,14,0.022302508743629768,5.038112058192209,0.010657151537476173
"Korea, South",KOR,1,15,0.02164976384413883,5.038112058192209,0.010657151537476173
"Korea, South",KOR,2,16,0.0209803623649836,5.038112058192209,0.010657151537476173
"Korea, South",KOR,0,17,0.020264837725454433,5.038112058192209,0.010657151537476173
"Korea, South",KOR,2,18,0.019471243335887248,5.038112058192209,0.010657151537476173
"Korea, South",KOR,2,19,0.018558154913109134,5.038112058192209,0.010657151537476173
"Korea, South",KOR,1,20,0.01754627363544563,5.038112058192209,0.010657151537476173
"Korea, South",KOR,1,21,0.01648214829338982,5.038112058192209,0.010657151537476173
"Korea, South",KOR,0,22,0.015446923582237456,5.038112058192209,0.010657151537476173
"Korea, South",KOR,0,23,0.01452390612507803,5.038112058192209,0.010657151537476173
"Korea, South",KOR,0,24,0.013753844825047953,5.038112058192209,0.010657151537476173
"Korea, South",KOR,0,25,0.013104563431575435,5.038112058192209,0.010657151537476173
"Korea, South",KOR,2,26,0.01252385010234537,5.038112058192209,0.010657151537476173
"Korea, South",KOR,1,27,0.011945788733370877,5.038112058192209,0.010657151537476173
"Korea, South",KOR,1,28,0.011318149447610481,5.038112058192209,0.010657151537476173
"Korea, South",KOR,0,29,0.010657151537476173,5.038112058192209,0.010657151537476173
